Date,Close,Open,High,Low,Vol.
2010-04-29,909.8,904.8,913.2,903.6,0.0
2010-04-30,899.4,909.8,914.0,897.3,0.0
2010-05-04,876.3,899.4,901.4,874.4,0.0
2010-05-05,865.1,876.3,879.2,859.1,0.0
2010-05-06,852.0,865.1,869.9,850.5,0.0
2010-05-07,829.7,852.0,852.6,817.1,0.0
2010-05-10,872.5,829.7,874.5,829.7,0.0
2010-05-11,863.9,872.5,872.5,851.4,0.0
2010-05-12,871.9,863.9,874.7,855.8,0.0
2010-05-13,880.0,871.9,880.4,871.5,0.0
2010-05-14,852.3,880.0,880.0,849.5,0.0
2010-05-17,852.3,852.3,862.8,847.3,0.0
2010-05-18,859.5,852.3,865.0,852.3,0.0
2010-05-19,835.4,859.5,859.5,835.4,0.0
2010-05-20,821.6,835.4,847.0,809.9,0.0
2010-05-21,819.9,821.6,823.4,802.8,0.0
2010-05-24,821.0,819.9,827.5,813.3,0.0
2010-05-25,800.2,821.0,821.0,793.3,0.0
2010-05-26,815.9,800.2,825.6,800.1,0.0
2010-05-27,841.4,815.9,841.4,815.9,0.0
2010-05-28,840.3,841.4,848.7,839.9,0.0
2010-06-01,836.2,840.3,840.9,820.0,0.0
2010-06-02,834.3,836.2,836.2,821.5,0.0
2010-06-03,844.0,834.3,852.3,834.3,0.0
2010-06-04,830.2,844.0,852.1,826.3,0.0
2010-06-07,820.9,830.2,830.2,816.3,0.0
2010-06-08,814.3,820.9,823.4,807.3,0.0
2010-06-09,823.7,814.3,823.7,809.4,0.0
2010-06-10,831.2,823.7,834.0,814.8,0.0
2010-06-11,836.3,831.2,839.6,828.7,0.0
2010-06-14,842.5,836.3,844.6,836.3,0.0
2010-06-15,845.0,842.5,849.0,833.9,0.0
2010-06-16,848.3,845.0,851.4,843.7,0.0
2010-06-17,850.9,848.3,857.3,847.5,0.0
2010-06-18,850.4,850.9,856.6,848.5,0.0
2010-06-21,858.2,850.4,863.4,850.4,0.0
2010-06-22,849.8,858.2,858.2,843.8,0.0
2010-06-23,838.7,849.8,849.9,836.6,0.0
2010-06-24,826.0,838.7,844.1,824.5,0.0
2010-06-25,817.3,826.0,830.9,814.9,0.0
2010-06-28,821.4,817.3,823.6,813.8,0.0
2010-06-29,795.9,821.4,821.4,793.4,0.0
2010-06-30,796.3,795.9,803.6,793.3,0.0
2010-07-01,778.3,796.3,796.3,775.7,0.0
2010-07-02,783.5,778.3,790.5,778.3,0.0
2010-07-05,781.2,783.5,787.6,780.8,0.0
2010-07-06,804.1,781.2,804.5,781.2,0.0
2010-07-07,812.2,804.1,812.2,792.3,0.0
2010-07-08,826.8,812.2,829.8,812.2,0.0
2010-07-09,831.3,826.8,834.1,825.8,0.0
2010-07-12,836.8,831.3,841.0,830.6,0.0
2010-07-13,853.6,836.8,853.9,836.8,0.0
2010-07-14,850.8,853.6,856.3,843.1,0.0
2010-07-15,844.0,850.8,853.2,840.1,0.0
2010-07-16,835.5,844.0,854.1,834.6,0.0
