,Date,NASDAQ_relative_change_perc_1,NASDAQ_F_relative_change_perc_1,Gold_F_relative_change_perc_1,Silver_F_relative_change_perc_1,Copper_F_relative_change_perc_1,USDHKD_relative_change_perc_1,NASDAQ_AD_oscillator,NASDAQ_momentum_4,NASDAQ_momentum_8,NASDAQ_stochastic_K_5,NASDAQ_stochastic_K_10,NASDAQ_stochastic_K_20,NASDAQ_stochastic_K_50,NASDAQ_stochastic_D_5_5,NASDAQ_williams_R_5,NASDAQ_williams_R_10,NASDAQ_williams_R_20,NASDAQ_williams_R_50
1267,2014-07-15,-0.006416327889653453,-0.005184507471790203,0.11006577940951497,-0.0030136331021287915,0.0027863777089782962,3.871067640457677e-05,0.18495902297927252,-2.639999999999418,-41.33999999999924,0.6477351571017955,0.484468826451184,0.6021283899759715,0.8504130098089829,0.5583000808794959,0.3798937360178958,0.05126976521321105,-2.9219719229513443,-9.301679808021914
1268,2014-07-16,-0.004543236088588564,-0.002865402170605469,0.12053296364756624,-0.0015895953757227744,-0.009885696632684592,0.00014193914681670506,1.1138545953360677,29.770000000000444,-59.960000000000036,0.7426900584795326,0.5554896582400483,0.6374629663220273,0.8710204784030287,0.6243198732409575,-0.11910377358490433,0.9673521305914784,-2.283385759222184,-5.5324100788612975
1269,2014-07-17,-0.0108964710575948,-0.011193554144674798,0.12969073747218174,0.012533013205282077,0.0015605493133582689,3.870668077301121e-05,-0.008065618591936309,-52.03999999999997,-88.07999999999994,0.11253761283851728,0.09200088961375806,0.16407316407316333,0.7365341593529503,0.5798691335208713,0.8085172041351677,6.44672897196256,0.037028725314195036,-4.467891682785312
1270,2014-07-18,0.011920254615360035,0.010386213263579013,0.10735616541921826,-0.005583392984967661,-0.010289990645463024,2.580345508269002e-05,1.2627178939879156,-8.270000000000438,40.6899999999996,0.8016048144433249,0.6387620097653124,0.6329511329511296,0.883262063426598,0.6386780472679399,-0.5378543236454912,2.4356884057971397,-1.8412649677616888,-4.874535581594731
1271,2014-07-21,0.0007916402786573781,0.0002542523709033587,0.12097635392829892,-0.0016190476190477367,0.004412228175228425,0.000141924496167937,0.009318996415778557,8.309999999999489,5.670000000000073,0.7268806419257746,0.7301020913866549,0.5821048321048301,0.8670906683453072,0.6062896569577889,1.4423592493297457,1.752794214332692,-3.7846987136085297,-4.553326598354745
1272,2014-07-22,0.0024927220614903325,0.0027336235699098226,0.119056733787612,0.010361445783132523,-0.0018738288569643297,0.0,1.8974975938402685,30.050000000000185,59.82000000000062,0.9275245755138548,0.9282872048810712,0.7958640458640475,0.9335289019267956,0.6622475406402009,-0.06572392736622391,-0.1742170022371359,-6.413556740289363,-8.238258631782108
1273,2014-07-23,0.0012398839790875805,0.002893300123279745,0.1194327328478344,-0.0003816793893131045,-0.00031289111389247,-7.740836784461276e-05,1.084247476963544,110.25,58.210000000000036,0.9452918287937764,0.9457938160228254,0.9165301665301636,0.9728204102495712,0.7027678947030496,-0.8515089163237329,-1.5262382075471526,-1.295945234333853,-6.008448117539044
1274,2014-07-24,-0.0021197739205330228,-0.002753993290270893,0.11545279383429667,-0.02062004325883211,0.015288611544461756,-2.580545269220831e-05,0.6032719836400787,39.960000000000036,31.6899999999996,0.8751864280387737,0.8995272754558394,0.9002021952628497,0.9692868413449772,0.8552976577431008,-0.6388243335611651,-0.8680759142107539,-2.0063434526506305,-11.688053097345163
1275,2014-07-25,0.00033722566691996063,0.0014648684144061544,0.12781896818041394,0.007487154391974664,-0.006159531875577461,3.871067640457677e-05,-0.5145348837209338,24.860000000000586,33.17000000000007,0.5562415112976948,0.7303219029038832,0.730372896434133,0.919172389270396,0.8062249971139749,-0.26894343649948377,-1.1625403659849542,-2.1564142194744798,-8.239740259740271
1276,2014-07-28,-0.001395154477974091,0.0002269117313364184,0.11824996175615718,-0.00528228737581787,-0.00030940594059416273,0.0,0.14054966248794265,-11.110000000000582,18.939999999999603,0.4330213716999572,0.695430329406468,0.6959003632589492,0.9071231263868124,0.7474531430688114,-0.4480286738351313,0.3587131367292393,-1.6902752293577794,-5.565259271151068
1277,2014-07-29,-0.0030004016992551488,-0.003799602425706426,0.11122129834464868,-0.0064796905222437315,-0.009567901234567943,3.871067640457677e-05,0.8704074816299251,-31.0,79.25,0.4021511384271533,0.6788474525399562,0.6795166431907453,0.8946200911683679,0.6423784556514711,1.0312800769971393,0.14832074562108954,-1.2093914710110163,-7.497120921305203
