,Date,SP500_relative_change_perc_1,SP500_F_relative_change_perc_1,Gold_F_relative_change_perc_1,Silver_F_relative_change_perc_1,Copper_F_relative_change_perc_1,SP500_williams_R_5,SP500_williams_R_10,SP500_williams_R_20,SP500_williams_R_50,SP500_AD_MACD_12_26,SP500_stochastic_D_5_5,SP500_momentum_8,SP500_momentum_16,SP500_AD_oscillator,SP500_stochastic_K_5,SP500_stochastic_K_10,SP500_stochastic_K_20,SP500_stochastic_K_50
0,2009-07-01,0.002725831324254459,0.002715030408340573,0.012590121596900945,0.010294117647058863,0.02252650176678452,-0.8583218707015098,-0.3335607094133669,1.02786709539121,-3.148753224419606,2.592078938823306,0.8301182349400199,2.1000000000000227,-19.09999999999991,1.1351351351351362,0.7590462833099599,0.8005109150023242,0.5116520706545944,0.7276039079317769
1,2009-07-02,-0.026941947809474242,-0.02692140686061666,-0.011366050562991215,-0.02525473071324609,-0.014205768402927216,0.9940357852882712,1.8234453180843588,3.5019011406844216,-1.6331918906176386,0.6446738840076023,0.6658493361694211,3.3799999999999955,-42.730000000000025,-0.08420628525382867,0.0,0.17556897352531248,0.11221611993468822,0.5048021195562173
2,2009-07-06,0.004976125778568046,0.0049200492004921065,-0.005060837730160488,-0.012173263629574329,-0.00044404973357011103,2.5953177257524973,2.5128432240921,3.0165148063781237,-2.632032146957528,-0.7049417445118706,0.5388159666825874,3.620000000000005,-46.16999999999996,0.18608414239482726,0.2712906057945573,0.2712906057945573,0.1768999570631174,0.4729172394830906
3,2009-07-07,-0.019552637436011627,-0.019586022701980885,0.0049772776455311715,-0.007588279489105867,-0.016873889875665994,3.97629127857746,1.478676763650856,3.283056812468583,-0.5159306875349371,-3.1654674734714945,0.34693203728473543,-19.91000000000008,-65.18000000000006,-0.006427423674344086,0.021157914983651136,0.021157914983651136,0.014416775884666078,0.3107872788928601
4,2009-07-08,-0.002653362059190421,-0.002608005442793916,-0.011526750761200546,-0.01752104055087995,-0.025850340136054396,2.941690962099132,1.946083418107836,6.254410399257207,-0.7566995768688192,-5.174421050593993,0.2430146157697101,-40.700000000000045,-44.160000000000075,0.3300915331807788,0.16357827476038195,0.16357827476038195,0.11782303532389712,0.2973146366052601
5,2009-07-09,0.0015885984023238668,0.001588562351072383,0.009589947089947015,0.006542056074766465,0.03677839851024197,4.436036036036073,1.9374140302613427,3.0775229357798244,-1.0483870967741888,-6.440530878247273,0.14266914955455906,-36.220000000000034,-29.290000000000077,0.8820403825717424,0.2573189522342048,0.2134185303514364,0.15372224139914745,0.2599114509961756
6,2009-07-10,-0.0010226924082133305,-0.0010227272727272468,0.0016470846601515318,-0.0142745709828393,0.0068649885583524604,1.6966156325543889,1.6815109343936383,4.485165794066305,0.1162237207457342,-7.642291787340355,0.2094038434321097,-48.100000000000016,-31.580000000000037,0.08271375464684863,0.3336734693877535,0.1567092651757182,0.12743569758378745,0.14456895595251273
7,2009-07-13,0.02442102390941017,0.024329240563892653,0.011738891936368671,0.009474930911962179,-0.003153153153153205,-0.18851132686083533,2.335562987736899,4.252819548872186,-0.6116889549281761,-6.748146724238494,0.3551457222731983,-18.270000000000092,-17.32000000000005,0.8519238243295779,1.0,0.5068690095846637,0.433884862573498,0.3877732164651052
8,2009-07-14,0.0056285178236398295,0.0055506216696269975,0.0024994566398608502,0.0019485580670304246,0.01823032458870606,-0.3877878950187456,1.875529212531741,1.6057017543859606,-1.7635605006954118,-5.5885955013040975,0.550914139276468,-17.49000000000001,-15.389999999999983,0.5128479657387646,1.0,0.5833865814696492,0.5833865814696492,0.4202048095731216
9,2009-07-15,0.024754161401966682,0.024719841793012527,0.010980729895575459,0.006709874189858878,0.03340563991323208,-2.6247139588100827,-0.1556851311953331,-0.28536585365853395,-0.8669692737430146,-2.475344879332056,0.7140440845860858,36.25999999999999,39.63999999999999,1.181092436974787,0.9792280013084708,0.9803496828098393,0.9803496828098393,0.7290300310666198
10,2009-07-16,0.011363514196329758,0.01128789507632767,-0.0035166240409206678,0.002272727272727359,0.002105263157894692,-5.619553666312452,-0.7945945945946056,-1.5211459754433718,-3.189189189189181,0.6349836122908528,0.8535289940689708,42.019999999999975,45.63999999999999,0.6832222895215078,0.9547434996486294,0.9568595927116824,0.9568595927116824,0.8217696467610169
11,2009-07-17,-0.00019137535085475676,-0.00021263023601961032,0.00032020493115601263,0.010407239819004516,0.019425675675675786,-5.279739776951616,-0.7711522965350502,-1.3187991422444734,-1.230863441518684,3.0358964349322832,0.9763630647601844,59.350000000000016,39.43999999999994,0.15883977900552151,0.9478438228438224,0.9520364415862802,0.9520364415862802,0.8176274306754109
12,2009-07-20,0.00961711974694019,0.009553125995117292,-0.005869405722670603,0.01263940520446096,0.00861008610086097,-1.9463661095996976,-4.240291262135915,-2.129317980513711,-0.7636428065201961,5.739906236888487,0.9745851257180944,71.57000000000005,30.870000000000005,1.0573847601128894,0.99111030478955,0.9940461725394896,0.9940461725394896,0.9413186054539175
13,2009-07-21,0.002741683036230148,0.0027310924369748136,-0.002108370229812355,-0.011518708730741144,-0.004887983706720982,-5.2184154175588695,-2.998393144081404,-1.4527700278995614,-1.1546830652790965,8.068234073328426,0.9661763288228812,71.90000000000009,35.680000000000064,0.405709992486852,0.9579560155239342,0.9776401788785696,0.9776401788785696,0.9776401788785696
