,Date,US30_relative_change_perc_1,US30_F_relative_change_perc_1,Gold_F_relative_change_perc_1,Silver_F_relative_change_perc_1,Copper_F_relative_change_perc_1,USDHKD_relative_change_perc_1,US30_AD_oscillator,US30_momentum_4,US30_momentum_16,US30_stochastic_K_5,US30_stochastic_K_10,US30_stochastic_K_20,US30_stochastic_K_50,US30_stochastic_D_5_5,US30_williams_R_5,US30_williams_R_10,US30_williams_R_20,US30_williams_R_50
0,2009-07-01,0.006691896921348469,0.006700207161882256,0.012590121596900945,0.010294117647058863,0.02252650176678452,9.032840828442415e-05,1.003986760944792,31.65999999999985,-259.0,0.7619922751059055,0.6849311233060793,0.3955214227970885,0.6517993517863123,0.7215738257565327,-0.4488815047765937,0.5795320487613165,1.6641785789733086,-2.8029906542056056
1,2009-07-02,-0.02613900976126076,-0.026143713983299927,-0.011366050562991215,-0.02525473071324609,-0.014205768402927216,7.742434995799597e-05,-0.003730504741785825,-157.6499999999996,-458.28000000000077,0.0,0.05966513607346707,0.03445432497978899,0.4438121670454119,0.6023163501153638,0.9077608968532244,2.6844020797227177,4.032482002056899,-1.3341816536590898
2,2009-07-06,0.005504088509898365,0.005507712004638118,-0.005060837730160488,-0.012173263629574329,-0.00044404973357011103,7.741935483875846e-05,0.3871946220691895,-204.5099999999984,-446.04999999999933,0.3174535355693259,0.3174535355693259,0.17692055838319035,0.4109803503913956,0.5377039792048915,2.1346981160065264,2.4338394793926077,3.7019210015108976,-1.971294869599966
3,2009-07-07,-0.019381497786773536,-0.019387387387387343,0.0049772776455311715,-0.007588279489105867,-0.016873889875665994,7.742434995799597e-05,0.008375501657643782,-283.39999999999964,-635.6599999999999,0.021638620948626515,0.021638620948626515,0.012742726832976644,0.2392246658501524,0.34484397512580783,3.5493566352986488,1.8368415899745367,3.4592456783656376,-0.212290502793298
4,2009-07-08,0.002622281176213791,0.0026235135466470072,-0.011526750761200546,-0.01752104055087995,-0.025850340136054396,0.00011613053071648392,0.42257991385173216,-325.64999999999964,-433.7199999999994,0.1849253973402536,0.1849253973402536,0.1153602954194807,0.2549976037062677,0.2572019657928223,2.2946122890263747,2.278257781986037,7.996544663424688,-0.41248153618906375
5,2009-07-09,0.0005086190137926051,0.0005135102090719915,0.009589947089947015,0.006542056074766465,0.03677839851024197,2.580511973581003e-05,0.6029270633397362,-97.56999999999971,-321.5,0.2306989712527653,0.19457508919883335,0.12137997318967092,0.19215832189949086,0.15094330502219427,2.9885662704979934,1.4551711861389591,3.342701815570837,-0.5993581346607286
6,2009-07-10,-0.004395972375157115,-0.004399633363886343,0.0016470846601515318,-0.0142745709828393,0.0068649885583524604,2.5805452692093712e-05,0.007510492599959038,-178.3500000000004,-350.65999999999985,0.2464075089293168,0.12027651638015095,0.08259320099117512,0.07503098363558285,0.20022480680805765,1.603263068003054,1.4887244080855315,5.1616796047988425,0.4633647667528972
7,2009-07-13,0.02269106227951527,0.022696027888250668,0.011738891936368671,0.009474930911962179,-0.003153153153153205,5.161090538430202e-05,0.9200039749577644,168.0799999999999,-223.92000000000007,1.0,0.4956414206941308,0.3437179288917639,0.3091913903432234,0.33673409969419243,-0.030414822101991795,2.0336745290016385,5.336148648648587,-0.14166813199695205
8,2009-07-14,0.0033751951959880523,0.0033727824855366885,0.0024994566398608502,0.0019485580670304246,0.01823032458870606,2.580511973581003e-05,0.38866237011705546,181.07999999999996,-180.23999999999972,0.9936505619617582,0.5520191372040227,0.4893433490277831,0.3443609783241014,0.5311364878968188,-0.19298551736171934,1.6683310927597537,1.990072529465093,-1.159170124481339
9,2009-07-15,0.030160390724478073,0.03015303682448598,0.010980729895575459,0.006709874189858878,0.03340563991323208,3.8709177946115415e-05,1.0168760405630428,433.03999999999917,277.1999999999989,0.977529350183204,0.9777835280201086,0.9777835280201086,0.6690188936945128,0.6896572784654089,-2.997732940376303,-0.3349750735779848,0.1901989325570141,-0.8196239717978775
10,2009-07-16,0.011513283933186713,0.01150626400548011,-0.0035166240409206678,0.002272727272727359,0.002105263157894692,0.0,0.7949726071543696,565.2999999999993,388.9099999999999,0.9570902451101764,0.9574927953890496,0.9574927953890496,0.7899309507549884,0.8349355332368911,-5.795945297504817,-0.9880397171656512,-1.4629374754227336,-2.661002727082007
11,2009-07-17,0.0036788802429784,0.0036731367439938475,0.00032020493115601263,0.010407239819004516,0.019425675675675786,2.5806784603612163e-05,0.5316725087631525,412.26000000000016,444.07999999999987,0.9834100052895629,0.9844850846949478,0.9844850846949478,0.8305511293219014,0.9823360325089404,-6.1861055886900855,-1.0818913209582506,-1.3294627383015647,-1.9500735484987568
12,2009-07-20,0.011673841334088005,0.011685341870569486,-0.005869405722670603,0.01263940520446096,0.00861008610086097,1.290322580642154e-05,1.0179981634527009,488.6599999999999,375.75,0.9883251404494388,0.9913367465249284,0.9913367465249284,0.9623390747907016,0.980001060598828,-2.5661830468051217,-4.264469585177916,-1.9319205740029897,-1.2361877822893312
13,2009-07-21,0.0076614885597555285,0.007651273705386282,-0.002108370229812355,-0.011518708730741144,-0.004887983706720982,2.580645161295769e-05,0.6816847919903367,299.7300000000014,477.55000000000115,0.9801306864590384,0.9866776198299894,0.9866776198299894,0.9866776198299894,0.9772970854982842,-7.2959358148100675,-3.4294771127784744,-1.8460446446054404,-1.8571994118312511
